source,target,weight
350604,348640,1
350604,378665,1
350604,308662,1
350604,350778,1
350604,378663,1
350604,350603,1
350604,437859,1
350604,438006,1
350604,350729,1
350604,350823,1
350604,378056,2
350604,381432,1
350604,378658,1
350604,350662,1
350604,378071,1
350604,306366,2
350604,350672,2
350604,350748,1
350604,350766,2
350604,421110,1
350604,378070,1
306370,380632,1
306370,350619,2
306370,350755,1
306370,350615,1
306370,350655,1
306370,348640,1
306370,306226,1
306370,378665,1
306370,369619,1
306370,350778,1
306370,378663,1
306370,350603,1
306370,437859,1
306370,438006,1
306370,350729,1
306370,350823,1
306370,381432,2
306370,378658,1
306370,350662,1
306370,378071,1
306370,306366,2
306370,350672,1
306370,419844,1
380632,350619,1
380632,350755,1
380632,350615,1
380632,350655,1
380632,348640,1
380632,378665,1
380632,350778,1
380632,378663,1
380632,350603,1
380632,437859,1
380632,438006,1
380632,350729,1
380632,350823,1
380632,381432,1
380632,378658,1
380632,350662,1
380632,378071,1
380632,306366,1
380632,350672,1
350619,350764,1
350619,350755,1
350619,350615,2
350619,350655,1
350619,348640,1
350619,306226,1
350619,378665,1
350619,350774,2
350619,395101,2
350619,308662,2
350619,378035,1
350619,350778,2
350619,350772,1
350619,330404,1
350619,378663,1
350619,350603,1
350619,437859,1
350619,438006,1
350619,350729,1
350619,350823,1
350619,378205,3
350619,378267,1
350619,381432,2
350619,378658,1
350619,350662,1
350619,378071,1
350619,306366,2
350619,350672,2
350619,350748,1
350619,350766,1
350619,421110,1
350619,378070,1
350764,350755,3
350764,350615,4
350764,306226,2
350764,378035,1
350764,369619,5
350764,350634,1
350764,378056,2
350764,306366,6
350764,350672,5
350764,378061,2
350764,350733,2
350764,350678,2
350764,306331,2
350764,350677,2
350764,350766,1
350764,419844,1
350755,350615,4
350755,350655,1
350755,348640,1
350755,306226,1
350755,378665,1
350755,369619,2
350755,350778,1
350755,378663,1
350755,350603,1
350755,437859,1
350755,438006,1
350755,350729,1
350755,350823,1
350755,350634,1
350755,378056,1
350755,381432,1
350755,378658,1
350755,350662,1
350755,378071,1
350755,306366,3
350755,350672,3
350755,378061,2
350755,350733,2
350755,350678,2
350755,306331,2
350755,350677,2
350615,350655,1
350615,348640,1
350615,306226,1
350615,378665,1
350615,369619,2
350615,350778,1
350615,378663,1
350615,350603,1
350615,437859,1
350615,438006,1
350615,350729,1
350615,350823,1
350615,350634,1
350615,378056,1
350615,381432,1
350615,378658,1
350615,350662,1
350615,378071,1
350615,306366,3
350615,350672,4
350615,378061,2
350615,350733,2
350615,350678,2
350615,306331,2
350615,350677,2
114888,350655,1
114888,348640,1
350655,348640,9
350655,378665,3
350655,350778,1
350655,426744,1
350655,84606,3
350655,378663,1
350655,350603,2
350655,437859,3
350655,438006,2
350655,350691,1
350655,84639,5
350655,419630,1
350655,84010,1
350655,378652,1
350655,434764,1
350655,350729,2
350655,350693,2
350655,84608,4
350655,84630,3
350655,84634,3
350655,350823,4
350655,350690,2
350655,395103,1
350655,84601,2
350655,84605,2
350655,84604,1
350655,381432,1
350655,378658,1
350655,350662,1
350655,378071,1
350655,306366,1
350655,350672,1
348640,378665,2
348640,350778,1
348640,84606,3
348640,378663,1
348640,350603,1
348640,437859,2
348640,438006,2
348640,84639,4
348640,350729,2
348640,350693,2
348640,84608,4
348640,84630,3
348640,84634,3
348640,350823,5
348640,350690,2
348640,395103,1
348640,84601,2
348640,84605,2
348640,84604,1
348640,381432,1
348640,378658,1
348640,350662,1
348640,378071,1
348640,306366,1
348640,350672,1
350722,350710,2
350722,350681,1
350722,350721,1
350722,350724,1
350722,434882,1
